collection,ecosystem,contract,supply,total_data_mb,media_storage_type,risk_notes,contact,priority,status,next_action,notes
Bitcoin Bulls OG,Stacks,SP2KAF9RF86PVX3NEE27DFV1CQX0T4WGR41X3S45C.byzantion-bitcoin-bulls,400,0.7,IPFS,No storage failure observed 2026-08-12. Contract has no set-base-uri so the pointer is fixed; only IPFS pinning is exposed. Internal prospect only. Do not publish risk claim without evidence.,TBC,1 - sponsor,Experiment queued,Approach founders then inscribe the whole collection ourselves,EXPERIMENT 1 - the rehearsal. Cheapest full collection on the list: 0.7 MB total, ~4.4 STX protocol fees, 400 single-tx mints. Same deployer as Wasteland Apes so one conversation may open both. Public transfer confirmed; no on-chain art renderer.
Wasteland Apes,Stacks,SP2KAF9RF86PVX3NEE27DFV1CQX0T4WGR41X3S45C.wasteland-apes-nft,10000,64.8,IPFS,No storage failure observed 2026-08-12. set-base-uri and set-contract-uri still live - metadata-frozen reads false so the art pointer is still admin-changeable. Internal prospect only. Do not publish risk claim without evidence.,TBC,1 - sponsor,Experiment queued,Approach founders then inscribe the whole collection ourselves,EXPERIMENT 2 - the flagship. Best popularity per byte on Stacks: 251253 STX lifetime volume and the whole collection is 64.8 MB. ~110 STX protocol fees; miner fees 64 STX scripted vs 2100 STX at wallet defaults. Public transfer confirmed; no on-chain art renderer.
NarcotiX,Stacks,SP8HMQP4Q63V3E6SXXPXZ4WJXA263HBD95QY2AM3.narcotix,2407 of 3333,111.9,IPFS,No storage failure observed 2026-08-12. set-base-uri and set-license-uri live and metadata-frozen reads false so the art pointer is still admin-changeable. Internal prospect only. Do not publish risk claim without evidence.,TBC,1 - sponsor candidate,Prospect,Confirm mint close plan with artist before deploying a helper,Clean fit: 46.5 KB per item (range 37-52 KB) so every mint is a 3-chunk single tx. 31.3 STX protocol fees today, ~43.3 STX if it mints out. MINT IS STILL OPEN - get-paused false, 33 STX price, 926 left. Seed canonical hashes incrementally and DO NOT call finalize-canonical until the mint closes, or later tokens can never be twinned. Public transfer confirmed; no on-chain renderer.
Mutant Monkeys,Stacks,SP125J1ADVYWGWB9NQRCVGKYAG73R17ZNMV17XEJ7.mutant-monkeys,4639,unknown,Oracle Cloud ORDS endpoint,Metadata route returned structured 404 for every id tested on 2026-08-12. Re-verify before any public claim.,TBC,2,Prospect,Re-check endpoint then approach founders,220928 STX lifetime volume. Gamma holds cached IPFS CIDs per token so recovery is possible from the index rather than the collection's own pointer.
CrashPunks v2,Stacks,SP3QSAJQ4EA8WXEDSRRKMZZ29NH91VZ6C5X88FGZQ.crashpunks-v2,5754,3939.9,IPFS,No storage failure observed 2026-08-12. Internal prospect only. Do not publish risk claim without evidence.,grace.btc / risidio.btc,2,Prospect,Ask for original generator layer assets,Highest volume on Stacks at 472721 STX. Too large to twin as flat 1024x1024 PNGs. Candidate for the recursive parts twin - see COLLECTION-SIZING.md.
CrashPunks v1,Stacks,SP3QSAJQ4EA8WXEDSRRKMZZ29NH91VZ6C5X88FGZQ.crashpunks-v1,5720,unknown,Gaia (gaia.blockstack.org),Every request returned Cloudflare 1016 origin DNS failure on 2026-08-12. Re-verify before any public claim.,grace.btc / risidio.btc,2,Prospect,Re-check hub then approach founders,Art recoverable from the same IPFS CID v2 uses. The pointer written into the contract is what is failing.
The Guests,Stacks,SP1CSHTKVHMMQJ7PRQRFYW6SB4QAW6SR3XY2F81PA.the-guests,500,329.9,IPFS,No storage failure observed 2026-08-12. Internal prospect only. Do not publish risk claim without evidence.,TBC,3,Prospect,Hold,Top of Gamma's daily volume but 660 KB per item puts it in staged-mint territory.
Stacks Invaders,Stacks,SPV8C2N59MA417HYQNG6372GCV0SEQE01EV4Z1RQ.stacks-invaders-v0,3494,3.3,On chain (contract-rendered SVG),Not a Forever Twin candidate - the art is generated on chain so there is no permanence gap. Separate angle: model-set and colour-set are ungated by metadata-frozen so the artwork remains admin-editable.,TBC,Not FT,Different mechanism,Separate conversation with the artist about a port or mirror,Already the parts architecture: <=100 models plus a colour table plus a block height per token. Cleanest possible demo of mint-single-tx-recursive. ~950 byte SVG per token; 3.33 MB flat or ~1 MB recursive. No fee saving from recursion since it is already one chunk.
Megapont,Stacks,TBC,TBC,TBC,TBC,Contract id not resolved on 2026-08-12. Internal prospect only. Do not publish risk claim without evidence.,TBC,3,Prospect,Find contract id,Guessed contract id did not resolve. Wasteland Apes metadata describes itself as Megapont so there may be a shared team.
NFTs for Peace,Stacks,TBC,TBC,TBC,TBC,Internal prospect only. Do not publish risk claim without evidence.,TBC,TBC,TBC,Find contract id,
Bitcoin Froggies,Stacks,TBC,TBC,TBC,TBC,Internal prospect only. Do not publish risk claim without evidence.,TBC,TBC,TBC,Find contract id,
S-Ordinals,Stacks,TBC,TBC,TBC,TBC,Internal prospect only. Do not publish risk claim without evidence.,TBC,TBC,TBC,Find contract id,
NarcotiX Parrot Gallery Exhibition,Stacks,SP39DY4WHCZ9TF8ZY9QY2KHFQ31BKJMDR7KY34SKD.the-narcotix-parrot-gallery-exhibition,85,1503.7,IPFS,Not currently inscribable. Internal prospect only. Do not publish risk claim without evidence.,TBC,Out of scope,Blocked,Only revisit if the artist wants a re-encoded edition,85 animated GIFs averaging 17.7 MB with a measured max of 58.8 MiB. Xtrata hard cap is 32 MiB (MAX-TOTAL-CHUNKS 2048 x 16384) so the largest cannot be inscribed at all and the rest need hundreds of staged transactions each. Re-encoding would break the byte-for-byte promise that makes a twin a twin. No marketplace volume recorded.
